episode,alice_start,alice_end,alice_goal,bob_start,bob_end,bob_goal,performance,scenario,env_change_rate
1,"(1, 0)","(2, 4)","(1, 7)","(1, 7)","(1, 3)","(1, 0)",0.5,Asymmetrical_Two_Slot_Corridor,0
1,"(1, 0)","(1, 5)","(1, 7)","(1, 7)","(1, 6)","(1, 0)",0.4285714285714286,Asymmetrical_Two_Slot_Corridor,0
1,"(1, 0)","(1, 1)","(1, 7)","(1, 7)","(2, 4)","(1, 0)",0.2142857142857143,Asymmetrical_Two_Slot_Corridor,0
2,"(1, 0)","(1, 1)","(1, 7)","(1, 7)","(2, 4)","(1, 0)",0.2142857142857143,Asymmetrical_Two_Slot_Corridor,0
2,"(1, 0)","(1, 2)","(1, 7)","(1, 7)","(2, 4)","(1, 0)",0.2857142857142857,Asymmetrical_Two_Slot_Corridor,0
2,"(1, 0)","(1, 0)","(1, 7)","(1, 7)","(2, 4)","(1, 0)",0.14285714285714285,Asymmetrical_Two_Slot_Corridor,0
3,"(1, 0)","(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)",0.0,Asymmetrical_Two_Slot_Corridor,0
3,"(1, 0)","(1, 5)","(1, 7)","(1, 7)","(1, 6)","(1, 0)",0.4285714285714286,Asymmetrical_Two_Slot_Corridor,0
3,"(1, 0)","(2, 4)","(1, 7)","(1, 7)","(1, 4)","(1, 0)",0.4285714285714286,Asymmetrical_Two_Slot_Corridor,0
4,"(1, 0)","(1, 2)","(1, 7)","(1, 7)","(2, 4)","(1, 0)",0.2857142857142857,Asymmetrical_Two_Slot_Corridor,0
4,"(1, 0)","(2, 4)","(1, 7)","(1, 7)","(1, 2)","(1, 0)",0.5714285714285714,Asymmetrical_Two_Slot_Corridor,0
4,"(1, 0)","(1, 2)","(1, 7)","(1, 7)","(1, 3)","(1, 0)",0.42857142857142855,Asymmetrical_Two_Slot_Corridor,0
5,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
6,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
7,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
8,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
9,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
10,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
11,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
12,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
13,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
14,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
15,"(1, 0)","(1, 4)","(1, 7)","(1, 7)","(0, 3)","(1, 0)",0.5,Asymmetrical_Two_Slot_Corridor,0
16,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
17,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
18,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
19,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
20,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
21,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
22,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
23,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
24,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
25,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
5,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
26,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
6,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
27,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
7,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 2)","(1, 0)",0.8571428571428572,Asymmetrical_Two_Slot_Corridor,0
8,"(1, 0)","(1, 4)","(1, 7)","(1, 7)","(1, 1)","(1, 0)",0.7142857142857143,Asymmetrical_Two_Slot_Corridor,0
9,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
10,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
11,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
12,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
13,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
14,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
15,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
16,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
17,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
18,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
19,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
20,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
21,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
22,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
23,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
24,"(1, 0)","(1, 7)","(1, 7)","(1, 7)","(1, 0)","(1, 0)",1,Asymmetrical_Two_Slot_Corridor,0
